concept,variant,engine_slot,current_model_file,texture_id,current_path,body_region,status,ownership_scope,runtime_note,notes
impact_effect,blood_hit_side,GENERAL_TEXTURE,N/A,0c54,mods/mod_allinone/ext_tex/effects/0C54_blood_hit_side_01.png,blood_hit_side_01,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_side,GENERAL_TEXTURE,N/A,0c55,mods/mod_allinone/ext_tex/effects/0C55_blood_hit_side_02.png,blood_hit_side_02,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_side,GENERAL_TEXTURE,N/A,0c56,mods/mod_allinone/ext_tex/effects/0C56_blood_hit_side_03.png,blood_hit_side_03,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_side,GENERAL_TEXTURE,N/A,0c57,mods/mod_allinone/ext_tex/effects/0C57_blood_hit_side_04.png,blood_hit_side_04,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_side,GENERAL_TEXTURE,N/A,0c58,mods/mod_allinone/ext_tex/effects/0C58_blood_hit_side_05.png,blood_hit_side_05,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c5d,mods/mod_allinone/ext_tex/effects/0C5D_smoke_puff_01.png,smoke_puff_01,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c5e,mods/mod_allinone/ext_tex/effects/0C5E_smoke_puff_02.png,smoke_puff_02,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c5f,mods/mod_allinone/ext_tex/effects/0C5F_smoke_puff_03.png,smoke_puff_03,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_front,GENERAL_TEXTURE,N/A,0c64,mods/mod_allinone/ext_tex/effects/0C64_blood_hit_front_01.png,blood_hit_front_01,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_front,GENERAL_TEXTURE,N/A,0c65,mods/mod_allinone/ext_tex/effects/0C65_blood_hit_front_02.png,blood_hit_front_02,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_front,GENERAL_TEXTURE,N/A,0c66,mods/mod_allinone/ext_tex/effects/0C66_blood_hit_front_03.png,blood_hit_front_03,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_front,GENERAL_TEXTURE,N/A,0c67,mods/mod_allinone/ext_tex/effects/0C67_blood_hit_front_04.png,blood_hit_front_04,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,blood_hit_front,GENERAL_TEXTURE,N/A,0c68,mods/mod_allinone/ext_tex/effects/0C68_blood_hit_front_05.png,blood_hit_front_05,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c6a,mods/mod_allinone/ext_tex/effects/0C6A_smoke_puff_04.png,smoke_puff_04,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c6b,mods/mod_allinone/ext_tex/effects/0C6B_smoke_puff_05.png,smoke_puff_05,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c6c,mods/mod_allinone/ext_tex/effects/0C6C_smoke_puff_06.png,smoke_puff_06,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c6d,mods/mod_allinone/ext_tex/effects/0C6D_smoke_puff_07.png,smoke_puff_07,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,smoke_puff,GENERAL_TEXTURE,N/A,0c6e,mods/mod_allinone/ext_tex/effects/0C6E_smoke_puff_08.png,smoke_puff_08,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,spark_floor,GENERAL_TEXTURE,N/A,0c70,mods/mod_allinone/ext_tex/effects/0C70_spark_floor_01.png,spark_floor_01,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,spark_floor,GENERAL_TEXTURE,N/A,0c71,mods/mod_allinone/ext_tex/effects/0C71_spark_floor_02.png,spark_floor_02,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,spark_floor,GENERAL_TEXTURE,N/A,0c72,mods/mod_allinone/ext_tex/effects/0C72_spark_floor_03.png,spark_floor_03,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,spark_floor,GENERAL_TEXTURE,N/A,0c73,mods/mod_allinone/ext_tex/effects/0C73_spark_floor_04.png,spark_floor_04,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Region inferred from filename
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,02ae,mods/mod_allinone/ext_tex/effects/02AE-wall-hit-side-01.png,wall_hit_side_01,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,007a,mods/mod_allinone/ext_tex/effects/007A-wall-hit-side-02.png,wall_hit_side_02,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,007b,mods/mod_allinone/ext_tex/effects/007B-wall-hit-side-03.png,wall_hit_side_03,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,063d,mods/mod_allinone/ext_tex/effects/063D-wall-hit-side-04.png,wall_hit_side_04,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,063e,mods/mod_allinone/ext_tex/effects/063E-wall-hit-side-05.png,wall_hit_side_05,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,0270,mods/mod_allinone/ext_tex/effects/0270-wall-hit-side-06.png,wall_hit_side_06,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,0383,mods/mod_allinone/ext_tex/effects/0383-wall-hit-side-07.png,wall_hit_side_07,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_side,GENERAL_TEXTURE,N/A,0384,mods/mod_allinone/ext_tex/effects/0384-wall-hit-side-08.png,wall_hit_side_08,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit side overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c50,mods/mod_allinone/ext_tex/effects/0C50-wall-hit-front-01.png,wall_hit_front_01,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c51,mods/mod_allinone/ext_tex/effects/0C51-wall-hit-front-02.png,wall_hit_front_02,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
